book bibliographic info,file,titleref,gcode
214,Stavrianopoulou_ritual,"Stavrianopoulou, <i>Ritual and Communication in the Graeco-Roman World</i> (2006)",j_sXCwAAQBAJ
215,Stavrianopoulou,"Stavrianopoulou, <i>Shifting Social Imaginaries in the Hellenistic Period: Narrations, Practices and Images</i> (2013)",lbPfAAAAQBAJ
216,Graf-Johnston,"Graf and Johnston, <i>Ritual texts for the afterlife: Orpheus and the Bacchic Gold Tablets</i> (2007)",BTJ9AgAAQBAJ
217,Lupu,"Lupu, <i>Greek Sacred Law: A Collection of New Documents (NGSL)</i> (2005)",MnHNtQhDLcUC
218,Isaac,"Isaac, <i>The invention of racism in classical antiquity</i> (2004)",eem1AQAAQBAJ
219,Corley,"Corley, <i>Ben Sira's Teaching on Friendship</i> (2002)",8W4KAQAAMAAJ
220,Tacoma,"Tacoma, <i>Models from the Past in Roman Culture: A World of Exempla</i> (2016)",mZUDDAAAQBAJ
221,Bett,"Bett, <i>How to be a Pyrrhonist: The Practice and Significance of Pyrrhonian Scepticism</i> (2019)",Wm2MDwAAQBAJ
222,Avery-Peck,"Avery-Peck, <i>The priestly gift in Mishnah: a study of tractate Terumot</i> (1981)",b9MXAAAAIAAJ
223,Belayche and Massa,"Belayche and Massa, <i>Mystery Cults in Visual Representation in Graeco-Roman Antiquity</i> (2021)",afcFEAAAQBAJ
224,Kalmin,"Kalmin, <i>The Sage in Jewish Society of Late Antiquity</i> (1998)",EF2GAgAAQBAJ
225,Sly,"Sly, <i>Philo's Perception of Women</i> (1990)",5SVnjgEACAAJ
226,Stern,"Stern, <i>From Rebuke to Consolation: Exegesis and Theology in the Liturgical Anthology of the Ninth of Av Season</i> (2004)",QNfXAAAAMAAJ
227,Udoh,"Udoh, <i>To Caesar What Is Caesar's: Tribute, Taxes, and Imperial Administration in Early Roman Palestine 63 B.C.E to 70 B.C.E</i> (2006)",z7xtAAAAMAAJ
228,Sigal,"Sigal, <i>The Halakhah of Jesus of Nazareth According to the Gospel of Matthew</i> (2007)",1d3YAAAAMAAJ
229,Eilberg-Schwartz,"Eilberg-Schwartz, <i>The Human Will in Judaism: The Mishnah's Philosophy of Intention</i> (1986)",f_QbAAAAMAAJ
230,Geljon and Vos,"Geljon and Vos, <i>Rituals in Early Christianity: New Perspectives on Tradition and Transformation</i> (2020)",Hk2jzQEACAAJ
231,Bremmer magic,"Bremmer, <i>Magic and Martyrs in Early Christianity: Collected Essays</i> (2017)",ud_E31KfD_AC
232,Cohn,"Cohn, <i>The Memory of the Temple and the Making of the Rabbis</i> (2013)",EFPQHpJjK8wC
233,samely,"Samely, <i>Rabbinic Interpretation of Scripture in the Mishnah</i> (2002)",rf0q-ZkU2EcC
234,Arboll,"Arboll, <i>Medicine in Ancient Assur: A Microhistorical Study of the Neo-Assyrian Healer Ki?ir-Aššur</i> (2020)",DeibzQEACAAJ
235,Brooks,"Brooks, <i>Support for the Poor in the Mishnaic Law of Agriculture: Tractate Peah</i> (1983)",WbXXAAAAMAAJ
236,Howley Gellius,"Howley, <i>The Single Life in the Roman and Later Roman World</i> (2018)",q-ZNDwAAQBAJ
237,Jaffee,"Jaffee, <i>Mishnah's Theology of Tithing: A Study of Tractate Maaserot</i> (1981)",edUXAAAAIAAJ
238,Porton,"Porton, <i>Gentiles and Israelites in Mishnah-Tosefta</i> (1988)",_r7XAAAAMAAJ
239,Brooten,"Brooten, <i>Women Leaders in the Ancient Synagogue</i> (1982)",Js7XAAAAMAAJ
240,Jorgenson Embodied,"Jorgenson, <i>The Embodied Soul in Plato's Later Thought</i> (2018)",REFPDwAAQBAJ
241,Keith,"Keith, <i>The Gospel as Manuscript: An Early History of the Jesus Tradition as Material Artifact</i> (2020)",ycjXDwAAQBAJ
242,Bryan Authors,"Bryan, <i>Authors and Authorities in Ancient Philosophy</i> (2018)",EnpnDwAAQBAJ
243,MheallaighLucian,"Mheallaigh, <i>Reading Fiction with Lucian: Fakes, Freaks and Hyperreality</i> (2014)",aMG0BAAAQBAJ
244,Tacoma2020,"Tacoma, <i>Cicero and Roman Education: The Reception of the Speeches and Ancient Scholarship</i> (2020)",viXTDwAAQBAJ
245,Green,"Green, <i>Carthage in Virgil's Aeneid: Staging the Enemy under Augustus</i> (2014)",tS_KAwAAQBAJ
246,Walters,"Walters, <i>Imagery of the Body Politic in Ciceronian Rome</i> (2020)",hd3QDwAAQBAJ
247,Oksanish,"Oksanish, <i>Vitruvian Man: Rome Under Construction</i> (2019)",vR2yDwAAQBAJ
248,Czajkowskietal,"Czajkowski et al., <i>Law in the Roman Provinces</i> (2020)",VzjpDwAAQBAJ
249,Rubenstein,"Rubenstein, <i>The History of Sukkot in the Second Temple and Rabbinic Periods</i> (1995)",KLbXAAAAMAAJ
255,Castagnoli,"Castagnoli and Ceccarelli, <i>Greek Memories: Theories and Practices</i> (2019)",-VN-DwAAQBAJ
254,Walter,"Walter, <i>Time in Ancient Stories of Origin</i> (2020)",rTjpDwAAQBAJ
253,Giusti,"Giusti, <i>Disclosure and Discretion in Roman Astrology: Manilius and his Augustan Contemporaries</i> (2018)",oeZNDwAAQBAJ
252,Williams,"Williams, <i>The Cosmic Viewpoint: A Study of Seneca's 'Natural Questions'</i> (2012)",-ptoAgAAQBAJ
251,Feldman,"Feldman, <i>Judaism and Hellenism Reconsidered</i> (2006)",sOx5DwAAQBAJ
250,Taylor and Hay,"Taylor and Hay, <i>Philo of Alexandria: On the Contemplative Life: Introduction, Translation and Commentary</i> (2020)",WokIEAAAQBAJ
265,Pinheiro Christian,"Pinheiro et al., <i>The Ancient Novel and Early Christian and Jewish Narrative: Fictional Intersections</i> (2012b)",1mw3bgumTFQC
264,Pinheiro desire,"Pinheiro et al., <i>Narrating Desire: Eros, Sex, and Gender in the Ancient Novel</i> (2012a)",eE5aRV8MwQsC
263,Pinheiro philosophy,"Pinheiro et al., <i>Philosophy and the Ancient Novel</i> (2015)",JJtLDwAAQBAJ
262,Pinheiro Crossroads,"Pinheiro et al., <i>Cultural Crossroads in the Ancient Novel</i> (2018)",r2VCDwAAQBAJ
261,Long,"Long, <i>Immortality in Ancient Philosophy</i> (2019)",szorEAAAQBAJ
260,Erler,"Erler et al., <i>Authority and Authoritative Texts in the Platonist Tradition</i> (2021)",JQIbEAAAQBAJ
259,Gygax and Zuiderhoek,"Gygax and Zuiderhoek, <i>Benefactors and the Polis: The Public Gift in the Greek Cities from the Homeric World to Late Antiquity</i> (2021)",rXYSEAAAQBAJ
258,Liapis Tragedy,"Liapis and Petrides, <i>Greek Tragedy After the Fifth Century: A Survey from ca</i> (2019)",4Y92DwAAQBAJ
257,Seaford Tragedy,"Seaford, <i>Tragedy, Ritual and Money in Ancient Greece: Selected Essays</i> (2018)",bo5yDwAAQBAJ
256,Frede Laks,"Frede and Laks, <i>Traditions of Theology: Studies in Hellenistic Theology, its Background and Aftermath</i> (2001)",35Mc3pL2pBoC
273,Ashbrook,"Ashbrook Harvey et al., <i>A Most Reliable Witness: Essays in Honor of Ross Shepard Kraemer</i> (2015)",6SPNCgAAQBAJ
272,Lieu identity,"Lieu, <i>Christian Identity in the Jewish and Graeco-Roman World</i> (2004)",rupTeRzH3-sC
271,Cernuskova,"Černušková, Kovacs and Plátová, <i>Clement’s Biblical Exegesis: Proceedings of the Second Colloquium on Clement of Alexandria </i> (2016)",GLdRDQAAQBAJ
270,Hoening Timaeus,"Hoenig, <i>Plato's Timaeus and the Latin Tradition</i> (2018)",y8hhDwAAQBAJ
269,Huebner Laes,"Huebner and Laes, <i>Aulus Gellius and Roman Reading Culture: Text, Presence and Imperial Knowledge in the 'Noctes Atticae'</i> (2019)",IYaEDwAAQBAJ
268,Bua Cicero,"Bua, <i>Roman Political Culture: Seven Studies of the Senate and City Councils of Italy from the First to the Sixth Century AD</i> (2019)",r-GCDwAAQBAJ
267,Schiffman,"Schiffman, <i>Testimony and the Penal Code</i> (1983)",6KjXAAAAMAAJ
266,Tite,"Tite, <i>Valentinian Ethics and Paraenetic Discourse: Determining the Social Function of Moral Exhortation in Valentinian Christianity</i> (2009)",WyGwCQAAQBAJ
287,Viglietti,"Viglietti and Gildenhard, <i>Divination, Prediction and the End of the Roman Republic</i> (2020)",6YLoDwAAQBAJ
286,Tsouni,"Tsouni, <i>Antiochus and Peripatetic Ethics</i> (2019)",Z7-GDwAAQBAJ
285,Greensmith,"Greensmith, <i>The Resurrection of Homer in Imperial Greek Epic: Quintus Smyrnaeus' Posthomerica and the Poetics of Impersonation</i> (2021)",c9X7DwAAQBAJ
284,Blum_Biggs,"Blum and Biggs, <i>The Epic Journey in Greek and Roman Literature</i> (2019)",trWQDwAAQBAJ
283,Lightfoot,"Lightfoot, <i>Wonder and the Marvellous from Homer to the Hellenistic World</i> (2021)",wN02zgEACAAJ
282,Hunter_Jonge,"Jonge and Hunter, <i>Dionysius of Halicarnassus and Augustan Rome. Rhetoric, Criticism and Historiography</i> (2019)",WHaIDwAAQBAJ
281,Price_etal,"Price, Finkelberg and Shahar, <i>Rome: An Empire of Many Nations: New Perspectives on Ethnic Diversity and Cultural Identity</i> (2021)",ochCEAAAQBAJ
280,Salvesen,"Salvesen et al., <i>Israel in Egypt: The Land of Egypt as Concept and Reality for Jews in Antiquity and the Early Medieval Period</i> (2020)",s_gFEAAAQBAJ
279,Carter Aristotle,"Carter, <i>Aristotle on Earlier Greek Psychology: The Science of Soul</i> (2019)",im2MDwAAQBAJ
278,Simon-Shushan,"Simon-Shushan, <i>Stories of the Law: Narrative Discourse and the Construction of Authority in the Mishna</i> (2012)",8L1LC4H-1e4C
277,Martin Hebrews,"Martin and Whitlark, <i>Inventing Hebrews: Design and Purpose in Ancient Rhetoric</i> (2018)",PgdZDwAAQBAJ
276,Roller Models,"Roller, <i>Disclosure and Discretion in Roman Astrology: Manilius and his Augustan Contemporaries</i> (2018)",VXVKDwAAQBAJ
275,Kessler,"Kessler, <i>Bound by the Bible: Jews, Christians and the Sacrifice of Isaac</i> (2004)",FH8hgAJsWQoC
274,Harte Rereading,"Harte, <i>Rereading Ancient Philosophy: Old Chestnuts and Sacred Cows</i> (2017)",zao_DwAAQBAJ
299,Wolfsdorf,"Wolfsdorf, <i>Early Greek Ethics</i> (2020)",VZj5DwAAQBAJ
298,Poulsen,"Poulsen, <i>Usages of the Past in Roman Historiography</i> (2021), ",oo8cEAAAQBAJ
297,Nuno etal,"Nuno et al., <i>SENSORIVM: The Senses in Roman Polytheism</i> (2021)",KnkxEAAAQBAJ
296,Lynskey,"Lynskey, <i>Tyconius’ Book of Rules: An Ancient Invitation to Ecclesial Hermeneutics</i> (2021)",HXEhEAAAQBAJ
295,Ruiz_Puertas,"Ruiz and Puertas, <i>Emperors and Emperorship in Late Antiquity: Images and Narratives</i> (2021)",xo8cEAAAQBAJ
294,Bednarek,"Bednarek, <i>The Myth of Lycurgus in Aeschylus, Naevius, and beyond</i> (2021)",sUAvEAAAQBAJ
293,Joosse,"Joosse, <i>Olympiodorus of Alexandria: Exegete, Teacher, Platonic Philosopher</i> (2021)",oEk2EAAAQBAJ
292,Binder,"Binder, <i>Tertullian, on Idolatry and Mishnah Avodah Zarah: Questioning the Parting of the Ways Between Christians and Jews</i> (2012)",HAYUjbBe8ggC
291,Schremer,"Schremer, <i>Brothers Estranged: Heresy, Christianity and Jewish Identity in Late Antiquity</i> (2010)",ioI8DwAAQBAJ
290,Wardy,"Wardy and Warren, <i>Authors and Authorities in Ancient Philosophy</i> (2018)",EnpnDwAAQBAJ
289,Kneebone,"Kneebone, <i>Orthodoxy and the Courts in Late Antiquity</i> (2020)",VU_6DwAAQBAJ
288,Mermelstein,"Mermelstein, <i>Power and Emotion in Ancient Judaism: Community and Identity in Formation</i> (2021)",LdEnEAAAQBAJ
311,Peels,"Peels, <i>Hosios: A Semantic Study of Greek Piety</i> (2016)",7Kq8CgAAQBAJ
310,Timotin,"Dillon and Timotin, <i>Platonic Theories of Prayer</i> (2015)",Tyo_CwAAQBAJ
309,Putthoff,"Putthoff, <i>Ontological Aspects of Early Jewish Anthropology</i> (2016)",-dSYDQAAQBAJ
308,Struck,"Struck, <i>Divination and Human Nature: A Cognitive History of Intuition in Classical Antiquity</i> (2016)",yViYDwAAQBAJ
307,PoorthuisSchwartzSaints,"Poorthuis and Schwartz, <i>Saints and role models in Judaism and Christianity</i> (2014)",3AT1DwAAQBAJ
306,Rizzi,"Rizzi, <i>Hadrian and the Christians</i> (2010)",BdQtshCmxZwC
305,Lavee,"Lavee, <i>The Rabbinic Conversion of Judaism The Unique Perspective of the Bavli on Conversion and the Construction of Jewish Identity</i> (2017)",iIJ1DwAAQBAJ
304,Merz,"Merz and Tieleman, <i>Ambrosiaster's Political Theology</i> (2012)",QVkzAQAAQBAJ
303,Gera,"Gera, <i>Judith</i> (2014)",fqLoBQAAQBAJ
302,deJauregui,"deJauregui, <i>Orphism and Christianity in Late Antiquity</i> (2010), ",84f5zVB6ewgC
301,Williamson,"Williamson, <i>Urban Rituals in Sacred Landscapes in Hellenistic Asia Minor</i> (2021)",fppWzgEACAAJ
300,Heymans,"Heymans, <i>The Origins of Money in the Iron Age Mediterranean World</i> (2021)",5OI3EAAAQBAJ
325,Gagne,"Gagne, <i>Cosmography and the Idea of Hyperborea in Ancient Greece</i> (2021), ",OPQgEAAAQBAJ
324,Crabbe,"Crabb, <i>Luke/Acts and the End of History</i> (2020)",9z3EDwAAQBAJ
323,Novenson,"Novenson, <i>Monotheism and Christology in Greco-Roman Antiquity</i> (2020)",pF75DwAAQBAJ
322,Trapp,"Trapp et al., <i>In Praise of Asclepius: Selected Prose Hymns</i> (2016)",MlYovgAACAAJ&dq
321,Rohmann,"Rohmann, <i>Christianity, Book-Burning and Censorship in Late Antiquity</i> (2016)",_O3CDAAAQBAJ
320,Gorain,"Gorain, <i>Language in the Confessions of Augustine</i> (2019)",bbLQDwAAQBAJ
319,Bierl,"Bierl, <i>Time and Space in Ancient Myth, Religion and Culture</i> (2017)",_e05DwAAQBAJ
318,Benefiel,"Benefiel and Keegan, <i>Inscriptions in the Private Sphere in the Greco-Roman World</i> (2016)",jeMPCwAAQBAJ
317,Gordon,"Gordon, <i>Land and Temple: Field Sacralization and the Agrarian Priesthood of Second Temple Judaism</i> (2020)",IW3cDwAAQBAJ
316,Gruen2020,"Gruen, <i>Ethnicity in the Ancient World - Did it matter</i> (2020)",6LH8DwAAQBAJ
315,Bianchetti,"Bianchetti et al., <i>Brill’s Companion to Ancient Geography: The Inhabited World in Greek and Roman Tradition</i> (2015)",to8DCwAAQBAJ
314,Kitzler,"Kitzler, <i>From 'Passio Perpetuae' to 'Acta Perpetuae'</i> (2015)",uBisCAAAQBAJ
313,Graver,"Graver, <i>Stoicism and Emotion</i> (2007)",PQ3B3xISTY4C
312,Russell,"Russell and Nesselrath, <i>On Prophecy, Dreams and Human Imagination: Synesius, De insomniis</i> (2014)",SkoBDzGMUYMC
341,Brooke,"Brooke et al., <i>Past Renewals: Interpretative Authority, Renewed Revelation, and the Quest for Perfection in Jewish Antiquity</i> (2008)",LUhxMvC6hMAC
340,Dijkstra,"Dijkstra, <i>The Early Reception and Appropriation of the Apostle Peter (60-800 CE): The Anchors of the Fisherman</i> (2020)",e6dFzQEACAAJ
339,Maciver,"Maciver, <i>Quintus Smyrnaeus' Posthomerica: Engaging Homer in Late Antiquity</i> (2012)",An08vRUY1akC
338,Estes,"Estes, <i>The Tree of Life</i> (2020)",wFzIywEACAAJ&dq
337,Horster,"Horster and Klöckner, <i>Cult Personnel in Asia Minor and the Aegean Islands from the Hellenistic to the Imperial Period</i> (2014)",ndjmBQAAQBAJ
336,JohnsonPatricia,"Johnson, <i>Ovid before Exile: Art and Punishment in the Metamorphoses</i> (2008)",EHqnvrZOnusC
335,GordonEpicurus,"Gordon, <i>The Invention and Gendering of Epicurus</i> (2012)",c29xyS3nuw4C
334,Torok,"Torok, <i>Herodotus In Nubia</i> (2014)",d5CfAwAAQBAJ
333,Ruzer,"Ruzer, <i>Early Jewish Messianism in the New Testament: Reflections in the Dim Mirror</i> (2020)",mKnwDwAAQBAJ
332,Goldschmidt,"Goldschmidt, <i>Biofiction and the Reception of Latin Poetry</i> (2019)",4YDCDwAAQBAJ
331,Vargas,"Vargas, <i>Time’s Causal Power: Proclus and the Natural Theology of Time</i> (2021)",fyk7EAAAQBAJ
330,Visnjic,"Visnjic, <i>The Invention of Duty: Stoicism as Deontology</i> (2021)",to8cEAAAQBAJ
329,Blumell,"Blumell, <i>Reading Sidonius' Epistles</i> (2012)",oUkzAQAAQBAJ
328,Alvarez,"Alvarez, <i>The Derveni Papyrus: Unearthing Ancient Mysteries</i> (2018)",RZGFDwAAQBAJ
327,Beck,"Beck, <i>Repetition, Communication, and Meaning in the Ancient World</i> (2021)",WTlIEAAAQBAJ
326,Robbins,"Robbins et al., <i>The Art of Visual Exegesis</i> (2017)",omzMDgAAQBAJ
364,Zanker,"Zanker, <i>The Mask of Socrates: The Image of the Intellectual in Antiquity</i> (1996)",2VxdRS6sCcgC
363,Bar-Kochva,"Bar Kochba, <i>Pseudo-Hecataeus on the Jews: Legitimizing the Jewish Diaspora</i> (1997)",1bowDwAAQBAJ
362,Bowersock,"Bowersock, <i>Fiction as History: Nero to Julian</i> (1997)",vbjADwAAQBAJ
361,Augoustakis,"Augoustakis et al., <i>Fides in Flavian Literature</i> (2021)",V2iwDwAAQBAJ
360,Edmunds,"Edmunds, <i>Greek Myth</i> (2021)",grcZzgEACAAJ
359,Fabre-Serris,"Fabre-Serris et al., <i>Identities, Ethnicities and Gender in Antiquity</i> (2021)",hI49EAAAQBAJ
358,Kazantzidis_disease,"Kazantzidis, <i>Lucretius on Disease: The Poetics of Morbidity in ""De rerum natura""</i> (2021)",cI89EAAAQBAJ
357,Bowditch,"Bowditch, <i>Cicero on the Philosophy of Religion: On the Nature of the Gods and On Divination</i> (2001)",y6UwDwAAQBAJ
356,Perkell,"Perkell, <i>The Poet's Truth: A Study of the Poet in Virgil's Georgics</i> (1989)",VHllvgAACAAJ
355,Flatto,"Flatto, <i>The Crown and the Courts</i> (2021)",AEP2DwAAQBAJ
354,Ayres,"Ayres and Ward, <i>The Rise of the Early Christian Intellectual</i> (2021)",H6LiDwAAQBAJ
353,Lloyd,"Lloyd, <i>The Revolutions of Wisdom: Studies in the Claims and Practice of Ancient Greek Science</i> (1989)",jaIwDwAAQBAJ
352,Thorsen,"Thorsen et al., <i>Greek and Latin Love: The Poetic Connection</i> (2021)",LFs8EAAAQBAJ
351,Papaioannou,"Papaioannou et al., <i>Rhetoric and Religion in Ancient Greece and Rome</i> (2021)",T4WFEAAAQBAJ
350,Michalopoulos,"Michalopoulos et al., <i>The Rhetoric of Unity and Division in Ancient Literature</i> (2021)",CqQBzgEACAAJ
349,Mawford,"Mawford and Ntanou, <i>Ancient Memory: Remembrance and Commemoration in Graeco-Roman Literature</i> (2021)",5P1jzgEACAAJ
348,Heller,"Heller and van Nijf, <i>The Politics of Honour in the Greek Cities of the Roman Empire</i> (2017)",ioJ1DwAAQBAJ
347,BowenRochberg,"Bowen and Rochberg, <i>Hellenistic Astronomy: The Science in its contexts</i> (2020)",8V3fwgEACAAJ
346,BlancoMayorJose,"Mayor, <i>Religion and Memory in Tacitus’ Annals</i> (2017)",3as2DgAAQBAJ
345,Pignot,"Pignot, <i>The Catechumenate in Late Antique Africa (4th–6th Centuries): Augustine of Hippo, His Contemporaries and Early Reception</i> (2020)",gqnwDwAAQBAJ
344,Eckhardt,"Eckhardt, <i>Benedict, Private Associations and Jewish Communities in the Hellenistic and Roman Cities</i> (2019)",uS2hDwAAQBAJ
343,Deromanis,"De Romanis and Maiuro, <i>Across the Ocean: Nine Essays on Indo-Mediterranean Trade</i> (2015)",q1LoBgAAQBAJ
342,Spatharas,"Spatharas, <i>Emotions, persuasion, and public discourse in classical Athens</i> (2019)",O6ilDwAAQBAJ
381,Esler,"Esler, <i>The Early Christian World</i> (2000)",6fyCAgAAQBAJ
380,Dieleman,"Dieleman, <i>Priests, Tongues, and Rites: The London-Leiden Magical Manuscripts and Translation in Egyptian Ritual (100–300 CE)</i> (2005)",Zex5DwAAQBAJ
379,Capponi,"Capponi, <i>Augustan Egypt: The Creation of a Roman Province</i> (2005)",JhYfDAAAQBAJ
378,Budelmann,"Budelmann, <i>The Language of Sophocles: Communality, Communication, and Involvement</i> (1999)",3LGg7Hr7keIC
377,ConybearePaulinus,"Conybeare, <i>Abused Bodies in Roman Epic</i> (2000)",g09hAgCFVQwC
376,Behr,"Behr, <i>Asceticism and Anthropology in Irenaeus and Clement</i> (2000)",rnEgkOKhnmYC
375,Fowler,"Fowler, <i>Plato in the Third Sophistic</i> (2014)",vi3nBQAAQBAJ
374,Petropoulou,"Petropoulou, <i>Animal Sacrifice in Ancient Greek Religion, Judaism, and Christianity, 100 BC to AD 200</i> (2012)",XVSQKQEACAAJ
373,Lyons,"Lyons, <i>Gender and Immortality: Heroines in Ancient Greek Myth and Cult</i> (1997)",eU4ABAAAQBAJ
372,Kanellakis,"Kanellakis, <i>Aristophanes and the Poetics of Surprise</i> (2020)",aL3tDwAAQBAJ
371,Neusnerhalakha,"Neusner, <i>The Theology of Halakha</i> (2001)",IIVa4C8WZ1sC
370,Neusnerhistory,"Neusner, <i>The Idea of History in Rabbinic Judaism</i> (2004)",wPqT4zoFCXkC
369,WerlineRodneyAl_2008_SubjectIndex_ExperientiaVolume1Inq.pdf,"Werline et al., <i>Experientia, Volume 1: Inquiry Into Religious Experience in Early Judaism and Christianity</i> (2008)",E_496dN53MIC
368,Kazantzidis,"Kazantzidis and Spatharas, <i>Hope in Ancient Literature, History, and Art</i> (2018)",fyZqDwAAQBAJ
367,Liatsi,"Liatsi, <i>Ethics in Ancient Greek Literature: Aspects of Ethical Reasoning from Homer to Aristotle and Beyond</i> (2021)",WOf4DwAAQBAJ
366,Vilk_Williams,"Volk and Williams, <i>Seeing Seneca Whole: Perspectives on Philosophy, Poetry and Politics</i> (2006)",KM1GEAAAQBAJ
382,Rutter,"Rutter and Sparkes, <i>Word and Image in Ancient Greece</i> (2012)",jopwAAAAIAAJ
365,Keane,"Keane, <i>Juvenal and the Satiric Emotions</i> (2015)",5e3lBQAAQBAJ
387,Hesk,"Hesk, <i>Deception and Democracy in Classical Athens</i> (2000)",qrEEv2BTdCMC
386,Stephens,"Stephens and Winkler, <i>Ancient Greek Novels: The Fragments: Introduction, Text, Translation, and Commentary</i> (1995)",Aj8ABAAAQBAJ
385,Hankinson,"Hankinson, <i>Cause and Explanation in Ancient Greek Thought</i> (1998)",oS7oCwAAQBAJ
384,Goldhill,"Goldhill, <i>Preposterous Poetics: The Politics and Aesthetics of Form in Late Antiquity</i> (2020)",ytr0DwAAQBAJ
383,Gale,"Gale, <i>Virgil on the Nature of Things: The Georgics, Lucretius and the Didactic Tradition</i> (2000)",R3tBmgI-zesC
404,Brouwer Vimercati,"Brouwer and Vimercati, <i>Fate, Providence and Free Will: Philosophy and Religion in Dialogue in the Early Imperial Age</i> (2020)",BfT_DwAAQBAJ
403,Petridou,"Petridou, <i>Homo Patiens: Approaches to the Patient in the Ancient World</i> (2016)",TXHsCgAAQBAJ
402,Hockey 1 Peter,"Hockey, <i>The Role of Emotion in 1 Peter</i> (2019)",8uaADwAAQBAJ
401,Fortenbaugh,"Fortenbaugh, <i>Aristotle's Practical Side: On his Psychology, Ethics, Politics and Rhetoric</i> (2006)",1ux5DwAAQBAJ
400,Hunter Homer,"Hunter, <i>The Measure of Homer: The Ancient Reception of the Iliad</i> (2018)",UHhTDwAAQBAJ
399,Wiebe,"Wiebe, <i>Fallen Angels in the Theology of St Augustine</i> (2021)",kHs_EAAAQBAJ
398,Hawes,"Hawes, <i>Pausanias in the World of Greek Myth</i> (2021)",kXU-EAAAQBAJ
397,Grove,"Grove, <i>Augustine on Memory</i> (2021)",PfhQEAAAQBAJ
396,Pirenne-Delforge,"Pirenne-Delforge and Pironti, <i>The Hera of Zeus: Intimate Enemy, Ultimate Spouse</i> (2022)",bSRQEAAAQBAJ
395,Ward,"Ward, <i>Searching for the Divine in Plato and Aristotle: Philosophical Theoria and Traditional Practice</i> (2021)",IiZTEAAAQBAJ
394,Goldhill time,"Goldhill, <i>The Christian Invention of Time: Temporality and the Literature of Late Antiquity</i> (2022)",Gi1TEAAAQBAJ
393,Sattler,"Sattler, <i>Ancient Ethics and the Natural World</i> (2021)",lahqzgEACAAJ
392,Xenophontos,"Xenophontos and Marmodoro, <i>The Reception of Greek Ethics in Late Antiquity and Byzantium</i> (2021)",gG8yEAAAQBAJ
391,Atkins,"Atkins, <i>The Cambridge Companion to Cicero's Philosophy</i> (2021)",S_1MEAAAQBAJ
390,BRoadie,"Broadie, <i>Plato's Sun-Like Good: Dialectic in the Republic</i> (2021)",2RYwzgEACAAJ
389,Bird,"Bird and Harrower, <i>The Cambridge Companion to the Apostolic Fathers</i> (2021)",hbwoEAAAQBAJ
388,Bowie,"Bowie, <i>Essays on Ancient Greek Literature and Culture</i> (2021)",g2lHEAAAQBAJ
406,Kosman,"Kosman, <i>Gender and Dialogue in the Rabbinic Prism</i> (2012)",lLTvrd67-ikC
405,Konig Roman,"König and Whitton, <i>Roman Literature under Nerva, Trajan and Hadrian: Literary Interactions, AD 96–138</i> (2018)",cXVKDwAAQBAJ
420,Talbert,"Talbert, <i>The Senate of Imperial Rome</i> (1984)",5ug9DwAAQBAJ
419,Elsner,"Elsner, <i>Roman Eyes: Visuality and Subjectivity in Art and Text</i> (2007)",pQkopT9bXmAC
418,Farrell,"Farrell, <i>Juno's Aeneid: A Battle for Heroic Identity</i> (2021)",Yk4aEAAAQBAJ
417,Lipka,"Lipka, <i>Epiphanies and Dreams in Greek Polytheism: Textual Genres and 'Reality' from Homer to Heliodorus</i> (2021)",Kw5QEAAAQBAJ
416,Hau,"Hau, <i>Moral History from Herodotus to Diodorus Siculus</i> (2017)",w9gKMQAACAAJ
415,Connelly,"Connelly, <i>Portrait of a Priestess: Women and Ritual in Ancient Greece</i> (2007)",sAspxHK-T1UC
414,Farag,"Farag, <i>What Makes a Church Sacred? Legal and Ritual Perspectives from Late Antiquity</i> (2021)",gog7EAAAQBAJ
413,Bartels,"Bartels, <i>Plato's Pragmatic Project: A Reading of Plato's Laws</i> (2017)",omSAtAEACAAJ
412,Chaniotis_third,"Chaniotis, <i>Unveiling Emotions III: Arousal, Display, and Performance of Emotions in the Greek World</i> (2021)",MboQzgEACAAJ
411,Papakonstantinou,"Papakonstantinou, <i>Cursing for Justice: Magic, Disputes, and the Lawcourts in Classical Athens</i> (2021)",bJIpzgEACAAJ
410,Rosa,"Rosa and Santangelo, <i>Cicero and Roman Religion: Eight Studies</i> (2020)",mZOKzQEACAAJ
409,Waldner,"Waldner et al., <i>Burial Rituals, Ideas of Afterlife, and the Individual in the Hellenistic World and the Roman Empire</i> (2016)",jWBaAQAACAAJ
408,Chaniotis_first,"Chaniotis, <i>Unveiling Emotions: Sources and Methods for the Study of Emotions in the Greek World vol</i> (2012)",KWv2zAEACAAJ
407,Mowat,"Mowat, <i> Engendering the Future: Divination and the Construction of Gender in the Late Roman Republic</i> (2021)",Nlo8zgEACAAJ
436,Beyerle,"Beyerle and Goff, <i>Notions of Time in Deuterocanonical and Cognate Literature</i> (2022)",ItOLzgEACAAJ
435,Maier_Waldner,"Maier and Waldner, <i>Desiring Martyrs: Locating Martyrs in Space and Time</i> (2022)",HBQrEAAAQBAJ
434,Folit,"Folit-Weinberg, <i>Homer, Parmenides, and the Road to Demonstration</i> (2022)",y7htEAAAQBAJ
433,Mackey,"Mackey, <i>Belief and Cult: Rethinking Roman Religion</i> (2022)",uI1SEAAAQBAJ
